Partners_in_Crime_(UK_TV_series),Zinnie_Harris
Leland_I,Lee_Kelly
Back_to_Work:_Why_We_Need_Smart_Government_for_a_Strong_Economy,Bill_Clinton
Burst_of_Summer,Oriel_Gray
Les_Soirées_de_Médan,Léon_Hennique
The_Famous_Teddy_Z,Wayne_Lemon
On_Hallowed_Ground,Colin_McComb
On_the_Beach_(novel),Nevil_Shute
Sravana_Sameeralu,Yaddanapudi_Sulochana_Rani
Dawn_(Haggard_novel),H._Rider_Haggard
Plastic_Little__manga__1,Kinji_Yoshimoto
Westinghouse_Studio_One,Loring_Mandel
Rahul_Dravid:_Timeless_Steel,Sambit_Bal
The_White_Guard,Mikhail_Bulgakov
30_Days_of_Night:_Dust_to_Dust,Ben_Ketai
The_Guerilla_Filmmakers_Handbook,Chris_Jones_(filmmaker)
Coogan's_Run,David_Tyler_(producer)
Lucien_Leuwen,Stendhal
Lies_of_the_Twins,Walter_Klenhard
Seesmic,Loïc_Le_Meur
Wen_Xuan,Xiao_Tong
The_1983_Annual_World's_Best_SF,Arthur_W._Saha
Contre_Sainte-Beuve,Marcel_Proust
Call_Girl_the_Musical,Tracy_Harvey
Dragon_Quest:_Dai_no_Daibōken,Riku_Sanjo
To_Die_in_Italbar,Roger_Zelazny
Shiroh,Kazuki_Nakashima
Time_for_a_Tiger,Anthony_Burgess
A_New_Brain,James_Lapine
Rich_Dad_Poor_Dad,Robert_Kiyosaki
Lovestruck:_The_Musical,Terry_Rossio
Crisis_in_Space,Michael_Holt_(author)
Untitled_96,Cindy_Sherman
Willie:_An_Autobiography,Willie_Nelson
Palpasa_Cafe,Narayan_Wagle
The_Diviners_(Bray_novel),Libba_Bray
The_Gap_in_the_Curtain,John_Buchan
Jennie_Gerhardt,Theodore_Dreiser
AIDS_and_Its_Metaphors,Susan_Sontag
Souls_in_Metal,Mike_Ashley_(writer)
El_Nombre,Christopher_Lillicrap
Robot_Chicken_DC_Comics_Special,Kevin_Shinick
Betrayal_(play),Harold_Pinter
All_That_the_Rain_Promises_and_More...,David_Arora
Wood_splitters,Tom_Roberts
Contes_et_nouvelles_en_vers,Jean_de_La_Fontaine
Once_a_Hero_(novel),Elizabeth_Moon
Ankles_Aweigh,Guy_Bolton
2channel,Hiroyuki_Nishimura
De_jacobsladder,Maarten_'t_Hart
Solanin,Inio_Asano
Apt._3,Ezra_Jack_Keats
The_Children_of_the_Lost,David_Whitley
Shadow_Lady,Masakazu_Katsura
King_Hedley_II,August_Wilson
Coroner's_Pidgin,Margery_Allingham
Work_Song:_Three_Views_of_Frank_Lloyd_Wright,Eric_Simonson
Lupin_the_Third,Monkey_Punch
Palestine:_Peace_Not_Apartheid,Jimmy_Carter
Player's_Handbook_2,Rob_Heinsoo
Ai_Shite_Knight,Kaoru_Tada
Buddy_Holly:_Listen_to_Me;_The_Ultimate_Buddy_Party,David_Leaf
The_Odd_Women,George_Gissing
The_Myth_of_Prometheus_(Piero_di_Cosimo),Piero_di_Cosimo
Ryan_Adams_&_the_Cardinals:_A_View_of_Other_Windows,Neal_Casal
Survivor_(Palahniuk_novel),Chuck_Palahniuk
Camino_Real_(play),Tennessee_Williams
The_Face_in_the_Abyss,A._Merritt
Ashkharatsuyts,Anania_Shirakatsi
Thanda_Gosht,Saadat_Hasan_Manto
Shadow_Country,Peter_Matthiessen
"Against_His-Story,_Against_Leviathan",Fredy_Perlman
The_Pagan_Lord,Bernard_Cornwell
Just_the_Ten_of_Us,Brad_Slaight
Scary_Musical,Leon_Parris
King_Ink,Nick_Cave
Sala_delle_Asse,Leonardo_da_Vinci
George_Washington_(Taft),Lorado_Taft
Airframe_(novel),Michael_Crichton
Questioning_the_Millennium,Stephen_Jay_Gould
Gallows_Thief,Bernard_Cornwell
Shakespeare_in_Love_(play),Tom_Stoppard
"Snow_White,_Blood_Red_(book)",Terri_Windling
"Bend,_Not_Break",Ping_Fu
Tatto_Media,Andrew_Bachman
Bomber_Harris_(television_film),Don_Shaw_(screenwriter)
Simon_and_the_Oaks,Marianne_Fredriksson
The_Body_in_Question,Jonathan_Miller
Enlightened_(TV_series),Mike_White_(filmmaker)
To_Your_Scattered_Bodies_Go,Philip_José_Farmer
The_Moon's_a_Balloon,David_Niven
L'Aigle_à_deux_têtes,Jean_Cocteau
Death_and_the_Compass,Jorge_Luis_Borges
Annie_on_My_Mind,Nancy_Garden
Castle_Death,Joe_Dever
Virtuous_Leadership,Alexandre_Havard
Gin_no_Spoon,Mari_Ozawa
On_the_Sidewalk_Bleeding,Ed_McBain
Hamtaro,Ritsuko_Kawai
Faithful_(book),Stewart_O'Nan
Khuda_Aur_Muhabbat,Hashim_Nadeem
Further_Chronicles_of_Avonlea,Lucy_Maud_Montgomery
Cast_Two_Shadows,Ann_Rinaldi
In_Desert_and_Wilderness,Henryk_Sienkiewicz
The_Story_of_the_Weasel,Carolyn_Slaughter
A_Mind_to_Murder,P._D._James
Sacrifice_of_Isaac_(Caravaggio),Caravaggio
The_Art_of_Mackin',Tariq_Nasheed
Callahan's_Crosstime_Saloon,Spider_Robinson
Det_är_1988_och_har_precis_börjat_snöa,Sigge_Eklund
"Good_Morning,_Midnight_(Hill_novel)",Reginald_Hill
Miracle_Girls,Nami_Akimoto
The_Puppet_Designer,Nicholas_Lens
Earthborn,Orson_Scott_Card
The_Weekly_with_Charlie_Pickering,Cal_Wilson
Scar_Tissue_(novel),Michael_Ignatieff
Laughable_Loves,Milan_Kundera
The_Philadelphia_Story_(play),Philip_Barry
White_Night_(The_Dresden_Files),Jim_Butcher
Dark_Prince,Christine_Feehan
Funeral_Composition,Yiannis_Moralis
OVGuide,David_Bohnett
The_Complete_Wizard's_Handbook,Rick_Swan
Science_Fiction_Adventures_in_Mutation,Groff_Conklin
Captain_Flamingo,Kenn_Scott
Everything's_Eventual,Stephen_King
No_Way_to_Treat_a_Lady_(film)__No_Way_to_Treat_a_Lady__1,William_Goldman
How_Doth_the_Simple_Spelling_Bee,Owen_Wister
Tatja_Grimm's_World,Vernor_Vinge
The_Lighthouse_at_the_End_of_the_World,Jules_Verne
Cry_of_the_Justice_Bird,Jon_Haylett
Little_Gloria..._Happy_at_Last,Barbara_Goldsmith
The_Sound_of_Music,Howard_Lindsay
Floyd_Collins_(musical),Tina_Landau
Madonna_of_the_Pinks,Raphael
Portrait_of_Prince_Philip_Prospero,Diego_Velázquez
"No_Coins,_Please",Gordon_Korman
"Candide,_Part_II",Henri_Joseph_Du_Laurens
Cannon-Fodder,Louis-Ferdinand_Céline
Merlin_(musical),Richard_Levinson
Mohawk_(novel),Richard_Russo
Chicago_Hope,David_E._Kelley
Porvarin_morsian,Kaari_Utrio
Maigret_and_the_Dosser,Georges_Simenon
We_Were_the_Mulvaneys,Joyce_Carol_Oates
A_Sense_of_Where_You_Are,John_McPhee
The_Seeds_of_Doom__Doctor_Who_and_the_Seeds_of_Doom__1,Philip_Hinchcliffe
Reds_Legends_of_Crosley_Field,Tom_Tsuchiya
How_to_Have_Sex_in_an_Epidemic,Richard_Berkowitz
The_Maze_of_Bones,Rick_Riordan
A_Dictionary_of_Slang_and_Unconventional_English,Eric_Partridge
Amphitryon_(play),Plautus
The_Blind,Maurice_Maeterlinck
The_Wayne_Manifesto,David_McRobbie
The_Stu_Erwin_Show,Erna_Lazarus
Boogie_Nights_(musical),Jon_Conway
Cruise_of_the_Gods,Tim_Firth
Cabo_Verde:_Viagem_pela_história_das_ilhas,Germano_Almeida
Universal_Natural_History_and_Theory_of_Heaven,Immanuel_Kant
Drake's_Progress,Charlie_Drake
Bust_of_Antonio_Barberini_(Bernini),Gian_Lorenzo_Bernini
The_Collected_Poems_of_Freddy_the_Pig,Walter_R._Brooks
Exploration_Team,Murray_Leinster
Avenger_(Shatner_novel),William_Shatner
Strip_Tease_(novel),Carl_Hiaasen
Bibliotheca_Anatomica,Daniel_Le_Clerc
"I'd_Tell_You_I_Love_You,_But_Then_I'd_Have_to_Kill_You",Ally_Carter
The_Adventure_of_the_Retired_Colourman,Arthur_Conan_Doyle
Shadow_of_a_Doubt_(1995_film),William_J._Coughlin
The_Anatomy_Lesson_(Roth_novel),Philip_Roth
Atomic_Chili,Rick_Klaw
Agaguk,Yves_Thériault
Crocodile_Shoes,Jimmy_Nail
Six_Months_in_Mexico,Nellie_Bly
Barbary_Shore,Norman_Mailer
The_Death_of_Sleep,Anne_McCaffrey
Alzano_Madonna,Giovanni_Bellini
Q-Squared,Peter_David
The_Mad_Goblin,Philip_José_Farmer
Dynamism_of_a_Dog_on_a_Leash,Giacomo_Balla
Berenice_(short_story),Edgar_Allan_Poe
King_of_the_Wind,Marguerite_Henry
Uprising_(2001_film),Paul_Brickman
Praying_Hands_(Dürer),Albrecht_Dürer
Like_Jake_and_Me,Mavis_Jukes
Wolf_Hall_(miniseries),Peter_Straughan
The_Colt_(film),Mikhail_Sholokhov
The_Year's_Best_Science_Fiction:_Twenty-First_Annual_Collection,Gardner_Dozois
Mister_B._Gone,Clive_Barker
Even_a_Monkey_Can_Draw_Manga,Kentaro_Takekuma
Suprnova.org,Andrej_Preston
Scooby-Doo!_and_the_Spooky_Scarecrow,Misty_Lee
Masterpiece_(novel),Elise_Broach
The_Witchmaster's_Key,Franklin_W._Dixon
The_Adventure_of_the_Illustrious_Client,Arthur_Conan_Doyle
Tumhari_Amrita,Javed_Siddiqui
The_Forbidden_Game_(non-fiction_book),Dan_Washburn
The_Yellow_Crucifixion,Marc_Chagall
Amnesia_Moon,Jonathan_Lethem
Hitman:_Enemy_Within,William_C._Dietz
The_Skystone,Jack_Whyte
Vampire_Rites,Darren_Shan
Phyllis_(TV_series),Laurence_Marks_(American_writer)
Tar_Baby_(novel),Toni_Morrison
The_Dead_Bird_(book),Margaret_Wise_Brown
Royal_Suite_(TV_series),Rod_Coneybeare
"Good_Morning,_World",James_L._Brooks
The_Grand_(TV_series),Russell_T_Davies
Government_Bullies,Rand_Paul
Great_Mazinger__manga__1,Go_Nagai
Pioneers_of_American_Freedom,Rudolf_Rocker
Cosmic_Knights,Isaac_Asimov
Sevastopol_Sketches,Leo_Tolstoy
A_Certain_Smile,Françoise_Sagan
Player's_Handbook_II,David_Noonan_(game_designer)
Coastal_landscape_(Fishermen_going_home),Eugen_Dücker
Sozaboy:_A_Novel_in_Rotten_English,Ken_Saro-Wiwa
Rod_'n'_Emu,Rod_Hull
Larry's_Party,Carol_Shields
Packing_for_Mars,Mary_Roach
Discoveries_in_Fantasy,Lin_Carter
Book_of_My_Mother,Albert_Cohen
Between_War_and_Peace:_The_Potsdam_Conference,Herbert_Feis
Hayate_×_Blade,Shizuru_Hayashiya
Get_into_Bed_with_Google,Jon_Smith
Lincoln_the_Unknown,Dale_Carnegie
Sword_of_Justice_(TV_series),Glen_A._Larson
The_Game_(UK_TV_series),Toby_Whithouse
Zak's_Lunch,Margie_Palatini
The_Business_of_Dying,Simon_Kernick
The_Curse_on_the_Chosen,Ian_Irvine
"Bonaparte,_First_Consul",Jean-Auguste-Dominique_Ingres
Dime_Store_Magic,Kelley_Armstrong
Rock_Art_and_the_Prehistory_of_Atlantic_Europe,Richard_Bradley_(archaeologist)
Smith's_Gazelle,Lionel_Davidson
Command_Decision_(novel),William_Wister_Haines
Hoka!_Hoka!_Hoka!,Poul_Anderson
Well_of_Life_(sculpture),Ivan_Meštrović
Confessions_of_an_Ugly_Stepsister,Gregory_Maguire
A_Cure_for_Serpents,Alberto_Denti_di_Pirajno
The_Little_Friend,Donna_Tartt
Tsurupika_Hagemaru,Shinbo_Nomura
The_Hallowed_Hunt,Lois_McMaster_Bujold
Phaedra's_Love,Sarah_Kane
Strange_Toys,Patricia_Geary
Re-Animator:_The_Musical,Stuart_Gordon
The_Greatest_Trade_Ever,Gregory_Zuckerman
Asshole:_How_I_Got_Rich_and_Happy_by_Not_Giving_a_Shit_About_You,Martin_Kihn
"Tick,_Tick..._Boom!",David_Auburn
An_Act_of_God,David_Javerbaum
A_Bundle_of_Letters,Henry_James
Killing_Lincoln_(film),Erik_Jendresen
Paedophilia:_The_Radical_Case,Tom_O'Carroll
Storyspace,Jay_David_Bolter
Chop_Suey_(painting),Edward_Hopper
Paris_in_Motion_(photography),Mayeul_Akpovi
White_Mughals,William_Dalrymple_(historian)
Flashing_Swords!_5:_Demons_and_Daggers,Lin_Carter
'48_(novel),James_Herbert
The_Cattle_King,Ion_Idriess
Puppy_Love_(TV_series),Vicki_Pepperdine
Tripper's_Day,Brian_Cooke
The_1973_Annual_World's_Best_SF,Arthur_W._Saha
Fact_Checkers_Unit,Brian_Sacca
Drood_(novel),Dan_Simmons
Isabella_Brant_(drawing),Peter_Paul_Rubens
The_Longest_Voyage,Poul_Anderson
The_Snow_Leopard,Peter_Matthiessen
Oh_No_It_Isn't!,Paul_Cornell
Penance_(TV_series),Kiyoshi_Kurosawa
The_South_of_the_Slot,Jack_London
The_New_Odd_Couple,Millee_Taggart
Caesar_(Massie_novel),Allan_Massie
In_High_Places_(Harry_Turtledove_novel),Harry_Turtledove
The_Wrong_Way_Home,Arthur_J._Deikman
Islam:_A_Short_History,Karen_Armstrong
The_Temple_of_the_Golden_Pavilion,Yukio_Mishima
Storming_Heaven_(Giardina_novel),Denise_Giardina
Impostora,Dode_Cruz
In_the_Year_of_Jubilee,George_Gissing
Constellations_(2005_book),Peter_Crowther
Word_Freak_(book),Stefan_Fatsis
Adam_of_the_Road,Elizabeth_Gray_Vining
Magic_Study,Maria_V._Snyder
The_Loveday_Trials,Kate_Tremayne
Fanny_(musical),S._N._Behrman
Three_Witnesses_(book),Rex_Stout
Expect,Don_Libes
Sangokushi_(manga),Mitsuteru_Yokoyama
The_Man_Who_Had_His_Hair_Cut_Short,Johan_Daisne
Leadership_(book),Rudy_Giuliani
False_Witness,Greg_Haddrick
Bravo_Two_Zero_(novel),Andy_McNab
The_Handbook_of_Australian_Sea-birds,Dominic_Serventy
A_Boy_Scout_Around_the_World,Palle_Huld
"Kyō,_Koi_o_Hajimemasu",Kanan_Minami
Starship_Traveller,Steve_Jackson_(UK_game_designer)
Agile_Project_Management_(book),Jim_Highsmith
A_Rather_English_Marriage,Angela_Lambert
Battle_Hymn_of_China,Agnes_Smedley
Shostakovich_(1969-1981),Aubrey_Williams
Number_11_(novel),Jonathan_Coe
Star_Maker,Olaf_Stapledon
Portrait_of_a_Young_Man_with_a_Lamp,Lorenzo_Lotto
Usotsuki_Mii-kun_to_Kowareta_Maa-chan,Hitoma_Iruma
Career_of_Evil,J._K._Rowling
The_Alexandria_Link,Steve_Berry_(novelist)
Mélusine_(novel),Sarah_Monette
Kaishain_no_Melody,Tsuyoshi_Ōhashi
"Rich_Man,_Poor_Man_Book_II",Irwin_Shaw
The_Dark_Side_(book),Jane_Mayer
The_Last_Rung_on_the_Ladder,Stephen_King
Calculated_Risk_(novel),Charles_Eric_Maine
The_Memory_of_Earth,Orson_Scott_Card
Servants_of_the_Wankh,Jack_Vance
Rise_to_Rebellion,Jeff_Shaara
Norms_of_Liberty,Douglas_B._Rasmussen
I_Got_a_%22D%22_in_Salami,Lin_Oliver
1635:_The_Dreeson_Incident,Virginia_DeMarce
Happy_Now%3F,Lucinda_Coxon
The_Caress_of_a_Bird,Joan_Miró
Badi_Aapa,Samira_Fazal
Viriconium_(1988_collection),M._John_Harrison
Edge_of_Eternity,Ken_Follett
The_Trigger,Michael_P._Kube-McDowell
Girl_with_a_Red_Hat,Johannes_Vermeer
The_Freedom_of_the_City,Brian_Friel
Palette_of_12_Secret_Colors,Nari_Kusakawa
Rogue_Trader_(book),Nick_Leeson
Wine_(software),Alexandre_Julliard
Sunset_Over_Chocolate_Mountains,Susan_Elderkin
Tonda_Couple,Kimio_Yanagisawa
HorrorScope_(webzine),Shane_Jiraiya_Cummings
Daktari,Robert_Lees
Big_Open_Skull,Jack_Zajac
The_All-New_Super_Friends_Hour,Orville_H._Hampton
Vazha-Pshavela_(biographical_novel),Miho_Mosulishvili
The_Sermon_of_St._Stephen_(Carpaccio),Vittore_Carpaccio
Down_on_His_Luck,Frederick_McCubbin
Exile_(1930_novel),Warwick_Deeping
The_Green_Bird,Carlo_Gozzi
Mandola_(painting),Georges_Braque
A_Burnt-Out_Case,Graham_Greene
Prohibido_amar,Ximena_Escalante
Cherry_(Moiseenko_painting),Evsey_Moiseenko
Open_End_(sculpture),Clement_Meadmore
What_a_Carve_Up!_(novel),Jonathan_Coe
Crown_Fountain,Jaume_Plensa
I_Am_Princess_X,Cherie_Priest
Vintage_Season,Henry_Kuttner
Letters_from_a_Father_to_His_Daughter,Jawaharlal_Nehru
Black_Blossom,Boban_Knežević
The_Raistlin_Chronicles,Don_Perrin
The_Wrestlers_(Luks),George_Luks
"Colette,_une_femme_libre",Marie_Trintignant
Breakfast_on_Pluto,Patrick_McCabe_(novelist)
The_Naked_Truth_(TV_series),Mark_Wilding
Steel_Magnolias_(play),Robert_Harling_(writer)
Grim_Tuesday,Garth_Nix
Bound_for_Glory_(book),Woody_Guthrie
The_Enchanter,Vladimir_Nabokov
The_Eudaemonic_Pie,Thomas_Bass
Sleepy_(novel),Kate_Orman
Marooned_on_Mars,Lester_del_Rey
The_Ocean_at_the_End_of_the_Lane,Neil_Gaiman
St._Jerome_and_Abraham_panels_(Antonello_da_Messina),Antonello_da_Messina
In_the_Line_of_Duty:_The_F.B.I._Murders,Tracy_Keenan_Wynn
The_Herbal_Bed,Peter_Whelan
Prentice_Alvin_and_the_No-Good_Plow,Orson_Scott_Card
Metamorphosis_(Miró),Joan_Miró
101_Philosophy_Problems,Martin_Cohen_(philosopher)
The_Hunters_(Brotherband),John_Flanagan_(author)
The_50th_Law,Robert_Greene_(American_author)
Pilgrim_(Timothy_Findley_novel),Timothy_Findley
Tell_Me_a_Riddle,Tillie_Olsen
ChuckleVision,Chuckle_Brothers
Naked_Dave,Laura_Molina_(artist)
Archive_Fever,Jacques_Derrida
Not_with_a_Bang,Mike_Walling
"Freaks,_Geeks,_and_Asperger_Syndrome",Luke_Jackson_(author)
Breed_of_Battle,Robert_E._Howard
Hobitit,Timo_Torikka
Bellefleur,Joyce_Carol_Oates
Dark_Matter_and_the_Dinosaurs,Lisa_Randall
"The_Monsters_and_the_Critics,_and_Other_Essays",J._R._R._Tolkien
Babylon_5:_Blood_Oath,John_Vornholt
Quadrail_series,Timothy_Zahn
The_World_and_Wikipedia,Andrew_Dalby
Lankhmar_–_City_of_Adventure,Douglas_Niles
Stochastic_Resonance_(book),Nigel_G._Stocks
The_Truth_About_Uri_Geller,James_Randi
Broadway_Boogie_Woogie,Piet_Mondrian
The_Watery_Place,Isaac_Asimov
Sarrasine,Honoré_de_Balzac
Top_Mates,Anne_Brooksbank
Absolute_Beginners_(novel),Colin_MacInnes
Debatable_Space,Philip_Palmer
Little_Red_Cap_(poem),Carol_Ann_Duffy
Shakespeare's_sonnets,William_Shakespeare
Gwenfritz,Alexander_Calder
Ask_Rhod_Gilbert,Dan_Swimer
The_Hidden_Agenda_of_Sigrid_Sugden,Jill_MacLean
Captain_Video_and_His_Video_Rangers,Jack_Vance
A_Deadly_Wandering,Matt_Richtel
David_Copperfield_(1966_TV_serial),Charles_Dickens
Framley_Parsonage,Anthony_Trollope
Miss_Liberty,Robert_E._Sherwood
The_Ominous_Parallels,Leonard_Peikoff
The_Fox_(Sherwood_Smith_novel),Sherwood_Smith
Amber_and_Ashes,Margaret_Weis
One_Day_in_the_Life_of_Ivan_Denisovich,Aleksandr_Solzhenitsyn
The_Renegades,Steven_E._de_Souza
Le_Tiroir_secret,Jean-Patrick_Manchette
Quiet_Killer,Gwyneth_Cravens
What_I_Was,Meg_Rosoff
1st_to_Die,James_Patterson
Underdogs_(anthology),Markus_Zusak
The_Millinery_Shop,Edgar_Degas
Pilcrow_(novel),Adam_Mars-Jones
A_Dog_on_Barkham_Street,Mary_Stolz
Apotheosis_of_Palermo,Vito_D'Anna
Honeymoon_in_Vegas_(musical),Andrew_Bergman
Of_Two_Minds,Richard_Friedenberg
Isaac_Asimov_Presents_The_Great_SF_Stories_22_(1960),Isaac_Asimov
13_Carat_Diamond_and_Other_Stories,Khin_Myo_Chit
Natural_History_(Pliny),Pliny_the_Elder
The_Invention_of_Hugo_Cabret,Brian_Selznick
The_Two_Sisters_(Lemmen_painting),Georges_Lemmen
The_Making_of_the_Atomic_Bomb,Richard_Rhodes
Monsignor_Renard,Stephen_Churchett
My_Sweet_Audrina,V._C._Andrews
Mantissa_(novel),John_Fowles
The_Story_of_Mankind,Hendrik_Willem_van_Loon
Anekdote_zur_Senkung_der_Arbeitsmoral,Heinrich_Böll
Hardball_(1989_TV_series),Frank_Lupo
After_the_Deluge,Andrew_Knight_(writer)
Elective_Affinities,Johann_Wolfgang_von_Goethe
Understanding_Privacy,Daniel_J._Solove
Decoding_Reality,Vlatko_Vedral
Backbone_Flute,Vladimir_Mayakovsky
The_World's_Largest_Lobster,Winston_Bronnum
The_Muses_(painting),Tintoretto
St._Michael_(Raphael),Raphael
The_Future_of_an_Illusion,Sigmund_Freud
Absolution_Gap,Alastair_Reynolds
The_Little_Prince,Antoine_de_Saint-Exupéry
The_Politics_of_Anti-Semitism,Michael_Neumann
World_Without_End_(Follett_novel),Ken_Follett
A_Girl_Asleep,Johannes_Vermeer
Game_Design_Workshop,Tracy_Fullerton
Disney_A_to_Z,Dave_Smith_(archivist)
Worst_(manga),Hiroshi_Takahashi_(artist)
Portrait_of_Jeanne_Kéfer,Fernand_Khnopff
The_Life_and_Legend_of_Wyatt_Earp,Frank_McDonald_(director)
Homeland_(Forgotten_Realms_novel),R._A._Salvatore
The_Son_of_Man,René_Magritte
Femme_nue_couchée,Gustave_Courbet
Dæmonomania,John_Crowley
Hangfire,Dan_Cragg
The_Shiva_Option,David_Weber
Soccer_Comes_First,Michael_Hardcastle
Out_of_the_Darkness_(Hinton_novel),Nigel_Hinton
The_Girl_in_the_Café,Richard_Curtis
Cuckoo_(TV_series),Kieron_Quirke
The_Magisterium_Series,Cassandra_Clare
Lord_of_the_Trees,Philip_José_Farmer
Arctic_Drift,Clive_Cussler
White_Crucifixion,Marc_Chagall
Hadleigh_Castle_(painting),John_Constable
In_Bluebeard's_Castle,George_Steiner
Wall_of_the_Sun_and_Wall_of_the_Moon,Josep_Llorens_i_Artigas
Lost_on_Venus,Edgar_Rice_Burroughs
The_New_Left:_The_Anti-Industrial_Revolution,Ayn_Rand
When_China_Rules_the_World,Martin_Jacques
Son_of_Godfather,Osamu_Tezuka
Kullervo_Rides_to_War,Akseli_Gallen-Kallela
The_Cat_in_the_Hat,Dr._Seuss
Cross_Game,Mitsuru_Adachi
American_Psycho_(musical),Roberto_Aguirre-Sacasa
The_Good_House,Tananarive_Due
Love's_Unending_Legacy,Janette_Oke
The_Bicycle_Wheel,Jobst_Brandt
Reunion_(novel),Alan_Dean_Foster
Sleuth_(play),Anthony_Shaffer_(writer)
The_Shangri-La_Diet,Seth_Roberts
The_Diary_of_Ellen_Rimbauer_(miniseries),Ridley_Pearson
Freakonomics,Steven_Levitt
Saraband,Ingmar_Bergman
Dunc_Breaks_the_Record,Gary_Paulsen
Drown_(short_story_collection),Junot_Díaz
Man_Alive_(short_story),Rex_Stout
The_Holy_Blood_and_the_Holy_Grail,Richard_Leigh_(author)
The_Evolution_of_Physics,Leopold_Infeld
Visions_of_Sugar_Plums,Janet_Evanovich
Metamorphosis_of_Narcissus,Salvador_Dalí
Netflix_Presents:_The_Characters,Paul_W._Downs
Gooische_Vrouwen,Linda_de_Mol
The_God_Boy,Ian_Cross
Star_of_Guidance,Issui_Ogawa
The_German_Lesson,Siegfried_Lenz
Four_Sisters,Oh_Soo-yeon
Great_Pretenders,Shuki_Levy
Generation_Kill,Evan_Wright
Super_Friends:_The_Legendary_Super_Powers_Show,Joe_Shuster
"Conan,_Scourge_of_the_Bloody_Coast",Leonard_Carpenter
The_Rise_of_the_Black_Wolf,J._S._Lewis
The_Year_of_Living_Dangerously_(novel),Christopher_Koch
