sid,sub,pid,pred,oid,obj,class
5448341,Warren_G._Harding,578,spouse,1882304,Florence_Harding,1.0
1028826,Calvin_Coolidge,578,spouse,2134565,Grace_Coolidge,1.0
2306951,Herbert_Hoover,578,spouse,3221941,Lou_Henry_Hoover,1.0
1932374,Franklin_D._Roosevelt,578,spouse,1665478,Eleanor_Roosevelt,1.0
2254632,Harry_S._Truman,578,spouse,828702,Bess_Truman,1.0
1596457,Dwight_D._Eisenhower,578,spouse,3324601,Mamie_Eisenhower,1.0
2704714,John_F._Kennedy,578,spouse,2535021,Jacqueline_Kennedy_Onassis,1.0
3269303,Lyndon_B._Johnson,578,spouse,3049283,Lady_Bird_Johnson,1.0
4362186,Richard_Nixon,578,spouse,4012613,Pat_Nixon,1.0
2053187,Gerald_Ford,578,spouse,832363,Betty_Ford,1.0
2656334,Jimmy_Carter,578,spouse,4456257,Rosalynn_Carter,1.0
4450187,Ronald_Reagan,578,spouse,3724593,Nancy_Reagan,1.0
2034183,George_H._W._Bush,578,spouse,753707,Barbara_Bush,1.0
847325,Bill_Clinton,578,spouse,2327072,Hillary_Clinton,1.0
2044778,George_W._Bush,578,spouse,3078814,Laura_Bush,1.0
752593,Barack_Obama,578,spouse,3542399,Michelle_Obama,1.0