Thiri_Maha_Sanda_Dewi_of_Toungoo,Mingyi_Nyo
Devi_(Ashoka's_wife),Ashoka
Mary_Fedden,Julian_Trevelyan
Marianna_Török,Abbas_II_of_Egypt
"Thomas_of_Lancaster,_1st_Duke_of_Clarence","Margaret_Holland,_Duchess_of_Clarence"
Martha_Washington,Daniel_Parke_Custis
"Charles,_Prince_of_Soubise",Landgravine_Victoria_of_Hesse-Rotenburg
"Margaret_Audley,_Duchess_of_Norfolk","Thomas_Howard,_4th_Duke_of_Norfolk"
Verna_Harrah,William_F._Harrah
Ayden_Callaghan,Sarah-Jane_Honeywell
Lau_Kar-leung,Mary_Jean_Reimer
Naysum_Saravanamuttu,Ratnasothy_Saravanamuttu
Margaret_Brown,James_Joseph_Brown
Anna_Lindh,Bo_Holmberg
Cathee_Dahmen,Alan_Merrill
Princess_Tatiana_of_Greece_and_Denmark,Prince_Nikolaos_of_Greece_and_Denmark
Maureen_McTeer,Joe_Clark
Pain_fitzJohn,Sybil_(wife_of_Pain_fitzJohn)
Verdicenan_Kadın,Abdülmecid_I
Carmen_Serano,Greg_Serano
Luc_Besson,Maïwenn
Mick_Miller_(Aboriginal_statesman),Pat_O'Shane
"Charles_Lennox,_4th_Duke_of_Richmond","Charlotte_Lennox,_Duchess_of_Richmond"
Robert_II_of_Scotland,Elizabeth_Mure
"Margaret_Graham,_Countess_of_Menteith","Robert_Stewart,_Duke_of_Albany"
Ecaterina_Cercheza,Vasile_Lupu
Soni_Razdan,Mahesh_Bhatt
Lady_Elizabeth_Percy,"Ralph_Neville,_2nd_Earl_of_Westmorland"
Tony_Almeida,Michelle_Dessler
Fernando_Lamas,Esther_Williams
Emperor_Taizu_of_Song,Empress_Song_(Song_dynasty)
Leonora_Carrington,Renato_Leduc
Edward_St_Aubyn,Nicola_Shulman
John_Deans_(pioneer),Jane_Deans
Goldie_Hawn,Gus_Trikonis
Yaza_Datu_Kalaya,Natshinnaung
"Maria_of_Portugal,_Queen_of_Castile",Alfonso_XI_of_Castile
Karen_Linder,James_Linder
Catherine_of_Alençon,"Louis_VII,_Duke_of_Bavaria"
Inger_McCabe_Elliott,Osborn_Elliott
Phoebe_Anna_Traquair,Ramsay_Traquair
James_Colgate_Cleveland,Hilary_Cleveland
Margaret_of_Brandenburg_(1410–1465),"Louis_VIII,_Duke_of_Bavaria"
Tim_Kelleher_(actor),Billie_Livingston
Debraj_Ray_(actor),Anuradha_Ray
Archduchess_Marie_Caroline_of_Austria,Frederick_Augustus_II_of_Saxony
Dhruvadevi,Chandragupta_II
P._Indra_Reddy,Sabitha_Indra_Reddy
Rahul_Ravindran,Chinmayi
Mustafa_III,Mihrişah_Sultan
Maud_Gonne,John_MacBride
Lal_Bahadur_Shastri,Lalita_Shastri
Bob_Thiele,Jane_Harvey
Susan_Lynch,Craig_Parkinson
Dalia_Ibelhauptaitė,Dexter_Fletcher
Princess_Eugénie_of_Greece_and_Denmark,"Raimundo,_2nd_Duke_of_Castel_Duino"
Mildred_Cooke,"William_Cecil,_1st_Baron_Burghley"
Christie_Hefner,William_A._Marovitz
Kim_Haugen,Nadia_Hasnaoui
Risa_Hirako,Eisaku_Yoshida
Anna_Reynolds_(singer),Jean_Cox
Tiberius,Vipsania_Agrippina
Joan_Allen,Peter_Friedman
Ailsa_Piper,Peter_Curtin
"Christian,_Prince-Elect_of_Denmark",Magdalene_Sibylle_of_Saxony
Arnold_Rüütel,Ingrid_Rüütel
Princess_Märtha_of_Sweden,Olav_V_of_Norway
David_Oyelowo,Jessica_Oyelowo
Michael_Lohan,Dina_Lohan
Victor_Emmanuel_III_of_Italy,Elena_of_Montenegro
Nils_Ole_Oftebro,Anette_Hoff
Russ_Meyer,Eve_Meyer
Doris_Blackburn,Maurice_Blackburn
Masoumeh_Ebtekar,Mohammad_Hashemi
Benay_Venuta,Armand_Deutsch
Rhonda_Fleming,Hall_Bartlett
Thawun_Nge,Saw_Sala_of_Toungoo
Sibylle_of_Jülich-Cleves-Berg,"Charles,_Margrave_of_Burgau"
Space_Ghost,Björk
Ricardo_Cortez,Alma_Rubens
Catherine_of_Valois,Owen_Tudor
Bella_Kocharyan,Robert_Kocharyan
"Louis_Antoine,_Duke_of_Enghien",Charlotte_Louise_de_Rohan
David_Hasselhoff,Pamela_Bach
Charlie_Eppes,Amita_Ramanujan
Olive_Carey,Harry_Carey_(actor)
Fereshteh_Sadre_Orafaee,Kambuzia_Partovi
Landgravine_Amalie_of_Hesse-Homburg,"Frederick,_Hereditary_Prince_of_Anhalt-Dessau"
David_Lean,Kay_Walsh
Nina_Carter,Rick_Wakeman
Eric_Nenninger,Angel_Parker
Éamon_de_Valera,Sinéad_de_Valera
Predslava_of_Kiev,Álmos_(duke)
Devayani_(actress),Rajakumaran_(director)
Fujiwara_no_Saneko,Emperor_Kameyama
Gary_Morton,Susan_Morrow
Lynda_Obst,David_Obst
Richard_G._Olson,Deborah_K._Jones
Henry_Jaglom,Tanna_Frederick
Helen_Shaver,Steven_Reuther
Helvis_of_Brunswick-Grubenhagen,James_I_of_Cyprus
Uncle_Henry_(Oz),Aunt_Em
"Birger,_King_of_Sweden",Martha_of_Denmark
Eric_V_of_Denmark,Agnes_of_Brandenburg
Humayun,Bega_Begum
Dick_Haymes,Nora_Eddington
Hermann_Vezin,Jane_Vezin
Frederick_William_I_of_Prussia,Sophia_Dorothea_of_Hanover
Yevgenia_Bosch,Georgy_Pyatakov
Angela_Schijf,Tom_Van_Landuyt
Ursula_von_der_Leyen,Heiko_von_der_Leyen
Ina_Chan_Un_Chan,Stanley_Ho
Julio_César_Turbay_Ayala,Nydia_Quintero_Turbay
Princess_Louise_Amelie_of_Baden,"Gustav,_Prince_of_Vasa"
Empress_Li_(Taizong),Emperor_Taizong_of_Song
Goharshad_Begum,Shahrukh_Mirza
Bob_Rae,Arlene_Perly_Rae
Bolesław_II_the_Generous,Wyszesława_of_Kiev
Muhammadu_Buhari,Aisha_Buhari
Scott_McKinsey,Nancy_Bates
Mazhar_Zaidi,Meenu_Gaur
Teresa_Cheung_(actress),Kenny_Bee
Ikbal_Ali_Shah,Saira_Elizabeth_Luiza_Shah
Heraclius_II_of_Georgia,Darejan_Dadiani
Louis-Bernard_Guyton_de_Morveau,Claudine_Picardet
George_Hamilton_(actor),Alana_Stewart
Françoise_Madeleine_d'Orléans,"Charles_Emmanuel_II,_Duke_of_Savoy"
Guru_Dutt,Geeta_Dutt
"Catherine_Hyde,_Duchess_of_Queensberry","Charles_Douglas,_3rd_Duke_of_Queensberry"
Béatrice_Schönberg,Jean-Louis_Borloo
Martín_De_León,Patricia_de_la_Garza_De_León
Tlacaelel,Maquiztzin
John_Bercow,Sally_Bercow
Amity_Shlaes,Seth_Lipsky
Halfdan_the_Black,Ragnhild_Sigurdsdotter
Şah_Sultan_(daughter_of_Selim_I),Lütfi_Pasha
Nikita_Khrushchev,Nina_Petrovna_Khrushcheva
Sol_Kerzner,Anneline_Kriel
Mariska_Hargitay,Peter_Hermann_(actor)
Samuel_Goldwyn_Jr.,Jennifer_Howard_(actress)
Flora_Sassoon,Solomon_David_Sassoon_(1841–1894)
Josephine_Earp,Wyatt_Earp
Rick_Salomon,Shannen_Doherty
Colleen_Zenk,Mark_Pinter
"Esther_Koplowitz,_Marquise_of_Cubas",Alberto_Alcocer
David_Baker_(biochemist),Hannele_Ruohola-Baker
Maria_of_the_Palatinate-Simmern,Charles_IX_of_Sweden
Nancy_Tellem,Arn_Tellem
Li_Shuangjiang,Meng_Ge
Maria_Echaveste,"Christopher_Edley,_Jr."
Philip_of_Castile,"Christina_of_Norway,_Infanta_of_Castile"
Kelly_Link,Gavin_Grant_(editor)
Alan_W._Livingston,Nancy_Olson
Michael_Williams_(actor),Judi_Dench
"Christopher,_Duke_of_Mecklenburg","Dorothea_of_Denmark,_Duchess_of_Mecklenburg"
Ekaterina_Semenikhin,Vladimir_Semenikhin
Margaret_Vyner,Hugh_Williams
"Alan_IV,_Duke_of_Brittany",Constance_of_Normandy
Jadwiga_Dzieduszycka,Witold_Leon_Czartoryski
Bertha_Puga_Martínez,Alberto_Lleras_Camargo
Karan_Singh_Grover,Bipasha_Basu
Robert_Stephens,Patricia_Quinn
Vinod_Mehra,Bindiya_Goswami
Dannie_Abse,Joan_Abse
Edith_Bowman,Tom_Smith_(musician)
"Lothair_II,_Holy_Roman_Emperor",Richenza_of_Northeim
Viktor_de_Kowa,Michiko_Tanaka
Elizabeth_Montgomery,Gig_Young
"Sir_Henry_Norman,_1st_Baronet",Ménie_Muriel_Dowie
Sam_Karunaratne,Kusuma_Karunaratne
Greg_Serano,Carmen_Serano
Moira_Harris,Gary_Sinise
Archduchess_Karoline_Marie_of_Austria,Prince_August_Leopold_of_Saxe-Coburg_and_Gotha
Jorge_Ramos_Hernández,Alicia_Llanos_de_Ramos
Alice_Sommerlath,Walther_Sommerlath
Anna_Proclemer,Vitaliano_Brancati
Hedy_Lamarr,Gene_Markey
Anna_Brecon,Stephen_Beckett
Rajashree_Birla,Aditya_Vikram_Birla
Anne_Elizabeth_Rector,Edmund_Duffy
Government_of_Mir-Hossein_Mousavi_(1981–89),Zahra_Rahnavard
Benjamin_Hoadly,Sarah_Hoadly
Lily_Safra,Edmond_Safra
Princess_Maria_Elizabeth_of_Sweden,"John,_Duke_of_Östergötland"
Michele_Lee,James_Farentino
Richard_Libertini,Melinda_Dillon
Robert_Gist,Agnes_Moorehead
Charlotte_Brontë,Arthur_Bell_Nicholls
Jennifer_Jones,David_O._Selznick
Youn_Yuh-jung,Jo_Young-nam
Helena_Kurcewiczówna,Jan_Skrzetuski
Tunku_Abdul_Rahman,Violet_Coulson
Maria_Franca_Fissolo,Michele_Ferrero
"Jules,_Prince_of_Guéméné",Marie_Louise_de_La_Tour_d'Auvergne
Jan_van_Paradijs,Chryssa_Kouveliotou
"Ermengarde_of_Anjou,_Duchess_of_Burgundy","Geoffrey_II,_Count_of_Gâtinais"
Golab_Adineh,Mehdi_Hashemi_(actor)
Renato_Salvatori,Annie_Girardot
Leonard_Crow_Dog,Mary_Brave_Bird
Mary_Scales,Robert_W._Scales
Steve_Bellamy,Beth_Herr
Princess_Luisa_Carlotta_of_Naples_and_Sicily,Infante_Francisco_de_Paula_of_Spain
Richenza_of_Northeim,"Lothair_II,_Holy_Roman_Emperor"
Susan_Estrich,Marty_Kaplan
Melissa_McCarthy,Ben_Falcone
"Gladys_Spencer-Churchill,_Duchess_of_Marlborough","Charles_Spencer-Churchill,_9th_Duke_of_Marlborough"
Alice_S._Huang,David_Baltimore
Farah_(actress),Vindu_Dara_Singh
Anne_Kerr_(politician),Russell_Kerr
Augustus_Berkeley_Paget,"Walburga,_Lady_Paget"
Sidney_Miller_(actor),Iris_Burton
"Margaret_of_Austria,_Electress_of_Saxony","Frederick_II,_Elector_of_Saxony"
Bogdan_Borusewicz,Alina_Pienkowska
William_Boyd_(actor),Elinor_Fair
Thomas_Rothman,Jessica_Harper
Antje_Weisgerber,Horst_Caspar
Damat_Mehmed_Ali_Pasha,Adile_Sultan
He_Yizhen,Ke_Ting_Sui
Gösta_Ekman,Marie-Louise_Ekman
Ralph_Nelson,Celeste_Holm
Sabina_Catharina_of_East_Frisia,John_III_of_Rietberg
Arpita_Pal,Prosenjit_Chatterjee
Lorenzo_Fabbri,Rex_(Police_dog)
Napoleon_III,Eugénie_de_Montijo
Angélica_(television_host),Luciano_Huck
Jean_Gillie,Jack_Bernhard
Rider_Strong,Alexandra_Barreto
Sunny_von_Bülow,Claus_von_Bülow
Ed_van_Thijn,Eveline_Herfkens
David_Easter,Denise_Welch
False_Dmitriy_I,Marina_Mniszech
Princess_Alexandra_Victoria_of_Schleswig-Holstein-Sonderburg-Glücksburg,Prince_August_Wilhelm_of_Prussia
"Margaret_of_Sweden,_Queen_of_Norway",Sverre_of_Norway
David_T._Friendly,Priscilla_Nedd-Friendly
Christa_Lang,Samuel_Fuller
Trish_Van_Devere,George_C._Scott
Roberto_Gómez_Fernández,Jessica_Coch
Himanshu_Rai,Devika_Rani
Olwen_Wymark,Patrick_Wymark
Marcy_Walker,Billy_Warlock
Jenny_Vertpré,Pierre_Carmouche
Jack_Schwartzman,Talia_Shire
Donald_Sutherland,Shirley_Douglas
Janet_Munro,Ian_Hendry
Alma_Reville,Alfred_Hitchcock
Dale_Robertson,Mary_Murphy_(actress)
Rhys_Thomas_(comedian),Lucy_Montgomery_(actress)
Alexandra_Silk,Luc_Wylder
Cnut_the_Great,Ælfgifu_of_Northampton
Jack_Coleman_(actor),Beth_Toussaint
Kaʻahumanu,Kealiiahonui
Rolla_M._Tryon_Jr.,Alice_F._Tryon
"Susanna_Montgomery,_Countess_of_Eglinton","Alexander_Montgomerie,_9th_Earl_of_Eglinton"
Kathryn_Wasserman_Davis,Shelby_Cullom_Davis
Zohra_Drif,Rabah_Bitat
Julie_Moran,Rob_Moran
Gladys_George,Leonard_Penn
Cédric_Klapisch,Lola_Doillon
Lester_B._Pearson,Maryon_Pearson
Gower_Champion,Marge_Champion
Fylgia_Zadig,Bengt_Eklund
George_O'Malley,Callie_Torres
Charles_Haid,Penelope_Windust
Sonia_Holm,Patrick_Holt
Theodore_Roosevelt,Alice_Hathaway_Lee_Roosevelt
David_Cannadine,Linda_Colley
Michael_Simkins,Julia_Deakin
John_Crowley_(director),Fiona_Weir
Judy_Loe,Richard_Beckinsale
Ciro_Gomes,Patrícia_Pillar
Negar_Javaherian,Rambod_Javan
Janet_Gaynor,Paul_Gregory_(producer)
Demi_Moore,Freddy_Moore
Princess_Elisabeth_Albertine_of_Saxe-Hildburghausen,Duke_Charles_Louis_Frederick_of_Mecklenburg
Haakon_V_of_Norway,Euphemia_of_Rügen
James_Allen_(U.S._Senator),Maryon_Pittman_Allen
Michael_Jai_White,Gillian_Iliana_Waters
Stanhope_Forbes,Elizabeth_Forbes_(artist)
"Princess_Ragnhild,_Mrs._Lorentzen",Erling_Lorentzen
John_Stapleton,Lynn_Faulds_Wood
"Ferdinand,_Duke_of_Parma",Archduchess_Maria_Amalia_of_Austria
Caitlin_Moran,Peter_Paphides
"Marguerite_of_Burgundy,_Countess_of_Savoy","Amadeus_IV,_Count_of_Savoy"
Kadaru_Nagabhushanam,Pasupuleti_Kannamba
Mohammed_Daoud_Khan,Zamina_Begum
Charles_VII_of_Sweden,Christina_Hvide
Elise_Asher,Nanno_de_Groot
Jason_Keller_(playwright),Kristin_Dattilo
Levi_P._Morton,Anna_Morton
Queen_Seonui,Gyeongjong_of_Joseon
John_Lowell_Gardner_II,Isabella_Stewart_Gardner
Sophia_of_Hanover,"Ernest_Augustus,_Elector_of_Brunswick-Lüneburg"
Louise_Carver,Tom_Murray_(actor)
Eva_Aeppli,Jean_Tinguely
Tawny_Moyer,Patrick_St._Esprit
Kamakaimoku,Alapainui
Martín_Lousteau,Carla_Peterson_(actress)
Vicki_Lawrence,Bobby_Russell
Elisabeth_Sladen,Brian_Miller_(actor)
"Katherine_Villiers,_Duchess_of_Buckingham","George_Villiers,_1st_Duke_of_Buckingham"
"Arnold_III,_Count_of_Bentheim-Steinfurt-Tecklenburg-Limburg",Magdalena_of_Neuenahr-Alpen
Tom_Cruise,Katie_Holmes
Salma_Hayek,François-Henri_Pinault
Frederika_Louisa_of_Hesse-Darmstadt,Frederick_William_II_of_Prussia
Susannah_Taylor,John_Taylor_(Unitarian_hymn_writer)
Louise_Nicholson,Nicholas_Wapshott
Wendy_Lee_Gramm,Phil_Gramm
Katharine_Ross,Conrad_Hall
"Alexius_Frederick_Christian,_Duke_of_Anhalt-Bernburg",Marie_Friederike_of_Hesse-Kassel
Samir_Soni,Neelam_Kothari
Hemma,Louis_the_German
Melissa_Gilbert,Timothy_Busfield
Adélaïde_Binart,Alexandre_Lenoir
Margaret_of_Foix,"Francis_II,_Duke_of_Brittany"
Eddie_Buczynski,Herman_Slater
Billy_Graham,Ruth_Graham
Dean_Barrow,Kim_Simplis_Barrow
Andrew_Kishino,Vanessa_Marshall
John_Atta_Mills,Ernestina_Naadu_Mills
Lynne_Littman,Taylor_Hackford
Krystyna_Lubomirska_(d._1669),Feliks_Kazimierz_Potocki
John_Casimir_of_the_Palatinate-Simmern,Elisabeth_of_Saxony
Todd_Beamer,Lisa_Beamer
Alta_Allen,Hampton_Del_Ruth
Brian_Loughnane,Peta_Credlin
Narapati_of_Prome,Sanda_Dewi
"Matthias,_Holy_Roman_Emperor",Anna_of_Tyrol
Virginia_Woolf,Leonard_Woolf
Princess_Feodora_of_Hohenlohe-Langenburg,"Georg_II,_Duke_of_Saxe-Meiningen"
Esclaramunda_of_Foix,James_II_of_Majorca
Chiang_Kai-shek,Soong_Mei-ling
Felipe_Agoncillo,Marcela_Agoncillo
Freddie_Fields,Corinna_Tsopei
Michał_Kazimierz_%22Rybeńko%22_Radziwiłł,Anna_Luiza_Mycielska
Samadarshi_Dutta,Titas_Bhowmik
Diane_Sands,Ann_Mary_Dussault
Rajdeep_Sardesai,Sagarika_Ghose
Mitzi_Green,Joseph_Pevney
Satyavati,Shantanu
"Agnes_of_Burgundy,_Duchess_of_Aquitaine","William_V,_Duke_of_Aquitaine"
Kate_Gosselin,Jon_Gosselin
Edward_T._Conroy,Mary_A._Conroy
Neile_Adams,Steve_McQueen
"Harry_Redmond,_Jr.",Dorothea_Holt_Redmond
Germaine_Kieckens,Hergé
Prince_Frederick_of_Hesse-Kassel,Princess_Caroline_of_Nassau-Usingen
"Alfred_Milner,_1st_Viscount_Milner","Violet_Milner,_Viscountess_Milner"
Anna_Porphyrogenita,Vladimir_the_Great
Akie_Abe,Shinzō_Abe
Meenakshi_Lekhi,Aman_Lekhi
Margaret_of_Brandenburg,Przemysł_II
Michèle_Morgan,Gérard_Oury
"Adolph_of_Cleves,_Lord_of_Ravenstein",Beatrice_of_Coimbra
Walter_Matthau,Carol_Grace
Lynn_Schusterman,Charles_Schusterman
"Fumihito,_Prince_Akishino","Kiko,_Princess_Akishino"
Ann-Margret,Roger_Smith_(actor)
Blanche_Oelrichs,Diana_Barrymore
Yang_Zongbao,Mu_Guiying
Eleanor_of_Austria,Francis_I_of_France
Tuanku_Ja'afar_of_Negeri_Sembilan,Tuanku_Najihah
Countess_Sophie_Henriette_of_Waldeck,"Ernest,_Duke_of_Saxe-Hildburghausen"
Christine_Bleakley,Frank_Lampard
"Infanta_Alicia,_Duchess_of_Calabria","Infante_Alfonso,_Duke_of_Calabria"
Mitsuko_Baisho,Antonio_Inoki
Jessica_Coch,Roberto_Gómez_Fernández
Lisa_Arch,Russell_Arch
Emily_McLaughlin,Jeffrey_Hunter
Melinda_Culea,Peter_Markle
Demetrius_II_Nicator,Cleopatra_Thea
"Frederick_William,_Duke_of_Brunswick-Wolfenbüttel",Princess_Marie_of_Baden_(1782–1808)
Ahmed_Thasmeen_Ali,Visam_Ali
Neal_Cassady,Carolyn_Cassady
Shamim_Hilaly,Zafar_Hilaly
Toshiyuki_Hosokawa,Mayumi_Ogawa
Ada_Choi,Zhang_Jin_(actor)
Li_Jianhua_(diplomat),Wu_Sike
Hugh_Maguire_(Lord_of_Fermanagh),"Hugh_O'Neill,_Earl_of_Tyrone"
Gia_Milinovich,Brian_Cox_(physicist)
"Ermesinde,_Countess_of_Luxembourg","Waleran_III,_Duke_of_Limburg"
Tim_Balme,Katie_Wolfe
James_Pinckney_Henderson,Frances_Cox_Henderson
William_Duncan_(actor),Edith_Johnson
Bolesław_IV_the_Curly,Viacheslava_of_Novgorod
Saw_Omma_of_Pinya,Thado_Minbya
James_Thornton_(actor),Joanna_Page
Florence_Gilbert,Edgar_Rice_Burroughs
Patricia_Owens,Sy_Bartlett
Frank_Moores,Janis_Johnson
Louise_Huebner,Mentor_Huebner
Jean_Hanff_Korelitz,Paul_Muldoon
"John_of_Lancaster,_1st_Duke_of_Bedford",Anne_of_Burgundy
Naoko_Matsui,Kenyu_Horiuchi
Atula_Sanda_Dewi_of_Pinya,Kyawswa_I_of_Pinya
Barbara_Turner_(screenwriter),Vic_Morrow
Bebe_Buell,Coyote_Shivers
Lars_Mikkelsen,Anette_Støvelbæk
Stanhope_Wood_Nixon,Doris_Ryer_Nixon
Martha_Raddatz,Tom_Gjelten
Max_Reinhardt,Helene_Thimig
Catherine_McClenahan,Bill_Fagerbakke
Princess_Emma_of_Anhalt-Bernburg-Schaumburg-Hoym,"George_II,_Prince_of_Waldeck_and_Pyrmont"
Deepa_Dasmunsi,Priya_Ranjan_Dasmunsi
Michael_Corleone,Kay_Adams-Corleone
Molly_McGreevey,Earl_Hindman
"John,_Elector_of_Saxony",Margaret_of_Anhalt-Köthen
Tami_Roman,Kenny_Anderson_(basketball)
Chi_Zhongrui,Chen_Lihua
Faustin_Soulouque,Adélina_Lévêque
Harriet_Vane,Lord_Peter_Wimsey
Khan_Ataur_Rahman,Mahbuba_Rahman
Thomas_P._Mahammitt,Ella_Mahammitt
Przemysł_II,Margaret_of_Brandenburg
Fay_Ripley,Daniel_Lapaine
Dotun_Adebayo,Carroll_Thompson
Prince_Alexander_of_Belgium,Princess_Léa_of_Belgium
Mehmed_V,Dilfirib_Kadın
Bernhard_Müller,Countess_Leon
Portia_de_Rossi,Ellen_DeGeneres
Early_life_of_Augustus,Clodia_Pulchra
Kara_Ross,Stephen_M._Ross
Jezebel,Ahab
Utpal_Dutt,Shobha_Sen
Billy_Bob_Thornton,Cynda_Williams
Park_Hee-soon,Park_Ye-jin
Serzh_Sargsyan,Rita_Sargsyan
John_Schneider_(screen_actor),Tawny_Little
Lynn_Fontanne,Alfred_Lunt
Matt_Passmore,Natalia_Cigliuti
Paige_Davis,Greg_Benson
William_Booth,Catherine_Booth
Margaret_Nagle,Ron_Fassler
Yvonne_Prettner_Solon,Sam_Solon
Tarita_Teriipaia,Marlon_Brando
"Alphonzo_E._Bell,_Jr.",Marian_McCargo
Sergei_Yesenin,Isadora_Duncan
Russell_Brand,Katy_Perry
Reinout_Oerlemans,Daniëlle_Overgaag
"Frederick,_Landgrave_of_Hesse-Eschwege",Countess_Palatine_Eleonora_Catherine_of_Zweibrücken
Ronald_Perelman,Ellen_Barkin
Jessica_Jackley,Reza_Aslan
Dominique_Folloroux-Ouattara,Alassane_Ouattara
Duchess_Woizlawa_Feodora_of_Mecklenburg,Prince_Heinrich_I_Reuss_of_Köstritz
Osas_Ighodaro,Gbenro_Ajibade
Micheline_Presle,William_Marshall_(bandleader)
Cleo_Finch,Peter_Benton
Jenni_Haukio,Sauli_Niinistö
Francis_Crick,Odile_Crick
Neil_Gaiman,Amanda_Palmer
Barbara_Rosenkranz,Horst_Rosenkranz
Dilras_Banu_Begum,Aurangzeb
Jerry_Hopper,Marsha_Hunt_(actress)
Jim_Hacker,Annie_Hacker
William_Rolleston,Mary_Rolleston
Jacqueline_Desmarais,Paul_Desmarais
Nissanka_Malla_of_Polonnaruwa,Kalyanavati_of_Polonnaruwa
Robert_N._Fried,Nancy_Travis
Carolina_Correa_Londoño,Gustavo_Rojas_Pinilla
Gregory_Harrison,Randi_Oakes
José_Figueres_Ferrer,Karen_Olsen_Beck
R._Bindu,A._Vijayaraghavan
Anne_d'Ornano,Michel_d'Ornano
Lorena_Castillo,Juan_Carlos_Varela
William_II_of_Sicily,"Joan_of_England,_Queen_of_Sicily"
Gigi_Rice,Ted_McGinley
Don_Henderson,Shirley_Stelfox
Sacha_Jenkins,Raquel_Cepeda
"Geoffrey_I,_Count_of_Anjou",Adele_of_Meaux
Sonny_Werblin,Leah_Ray
David_Huffman,Phyllis_Huffman
Urvashi_Sharma,Sachiin_J_Joshi
Jack_Hawkins,Jessica_Tandy
Albert_Grossman,Sally_Grossman
Mi_Mi_Khaing,Sao_Saimong
Bergüzar_Korel,Halit_Ergenç
Rudolph_of_France,Emma_of_France
Boni_de_Castellane,Anna_Gould
"Louis_II,_Duke_of_Bourbon",Anne_of_Auvergne
Warren_A._Morton,Robert_G._Allen
Cleopatra_Tucker,Donald_Kofi_Tucker
Dee_Wallace,Christopher_Stone_(actor)
Stone_Cold_Steve_Austin,Debra_Marshall
Avice_Landone,Bruno_Barnabe
"Antonio_I,_Prince_of_Monaco",Marie_of_Lorraine
Imperial_Noble_Consort_Zhuangshun,Daoguang_Emperor
"Mabel_FitzRobert,_Countess_of_Gloucester","Robert,_1st_Earl_of_Gloucester"
Maria_Francisca_of_Savoy,Peter_II_of_Portugal
Rita_Klímová,Zdeněk_Mlynář
Akash_Rajpal,Neha_Rajpal
Neville_Wadia,Dina_Wadia
Sophia_Bush,Chad_Michael_Murray
Robert_Cosgrove,Gertrude_Cosgrove
John_D._Rockefeller,Laura_Spelman_Rockefeller
Seonjo_of_Joseon,Queen_Uiin
Catherine_Schell,William_Marlowe
Jay_Alan_Yim,Marlena_Novak
Maryam_Mojtahedzadeh,Seyed_Mohsen_Mousavi
Gryfina_of_Halych,Leszek_II_the_Black
